token	corpus size	all contexts size	frequency	co-frequency	specificity
人與鬼	164029	17316	1	1	0.98
戀愛	164029	17316	1	1	0.98
故事裡	164029	17316	1	1	0.98
解決	164029	17316	1	1	0.98
美國	164029	17316	1	1	0.98
本義	164029	17316	1	1	0.98
臺灣片	164029	17316	1	1	0.98
第六感生死戀	164029	17316	1	1	0.98
内地	164029	17316	1	1	0.98
打牆	164029	17316	1	1	0.98
夜裡	164029	17316	1	1	0.98
墳場	164029	17316	1	1	0.98
幽靈船	164029	17316	1	1	0.98
駕駛	164029	17316	1	1	0.98
哀叫	164029	17316	1	1	0.98
渐无声	164029	17316	1	1	0.98
天明	164029	17316	1	1	0.98
90840920	164029	17316	1	1	0.98
上巳节	164029	17316	1	1	0.98
壁画	164029	17316	1	1	0.98
意字	164029	17316	1	1	0.98
享祭	164029	17316	1	1	0.98
飘泊	164029	17316	1	1	0.98
辞书	164029	17316	1	1	0.98
油锅	164029	17316	1	1	0.98
碾盘	164029	17316	1	1	0.98
鬼魂出没	164029	17316	1	1	0.98
每间	164029	17316	1	1	0.98
鸣放	164029	17316	1	1	0.98
照常	164029	17316	1	1	0.98
光临	164029	17316	1	1	0.98
血食	164029	17316	1	1	0.98
一年一度	164029	17316	1	1	0.98
苇管	164029	17316	1	1	0.98
水缸	164029	17316	1	1	0.98
钵	164029	17316	1	1	0.98
盆装	164029	17316	1	1	0.98
店铺	164029	17316	1	1	0.98
关门	164029	17316	1	1	0.98
新鲜	164029	17316	1	1	0.98
包子	164029	17316	1	1	0.98
孝心而起	164029	17316	1	1	0.98
吊死	164029	17316	1	1	0.98
招鬼物	164029	17316	1	1	0.98
冰凉	164029	17316	1	1	0.98
大街	164029	17316	1	1	0.98
历朝历代	164029	17316	1	1	0.98
法会	164029	17316	1	1	0.98
谨言慎行	164029	17316	1	1	0.98
根由	164029	17316	1	1	0.98
刚才	164029	17316	1	1	0.98
过桥处	164029	17316	1	1	0.98
一恶鬼	164029	17316	1	1	0.98
甜	164029	17316	1	1	0.98
笼罩	164029	17316	1	1	0.98
源远流长	164029	17316	1	1	0.98
沾染	164029	17316	1	1	0.98
先驱者	164029	17316	1	1	0.98
性喜	164029	17316	1	1	0.98
一两千	164029	17316	1	1	0.98
应景	164029	17316	1	1	0.98
秋高气爽	164029	17316	1	1	0.98
临近	164029	17316	1	1	0.98
兹	164029	17316	1	1	0.98
米斯基	164029	17316	1	1	0.98
墨西哥城	164029	17316	1	1	0.98
得名	164029	17316	1	1	0.98
出乎	164029	17316	1	1	0.98
预料	164029	17316	1	1	0.98
报纸	164029	17316	1	1	0.98
频频	164029	17316	1	1	0.98
打招呼	164029	17316	1	1	0.98
扮	164029	17316	1	1	0.98
摇滚	164029	17316	1	1	0.98
伴奏	164029	17316	1	1	0.98
评选	164029	17316	1	1	0.98
卑帝	164029	17316	1	1	0.98
黎	164029	17316	1	1	0.98
絕	164029	17316	1	1	0.98
飢饉	164029	17316	1	1	0.98
貧乏	164029	17316	1	1	0.98
無人	164029	17316	1	1	0.98
間遊蕩	164029	17316	1	1	0.98
鬼說	164029	17316	1	1	0.98
後變	164029	17316	1	1	0.98
無樂趣	164029	17316	1	1	0.98
為寒冷	164029	17316	1	1	0.98
吸人	164029	17316	1	1	0.98
希祠	164029	17316	1	1	0.98
囤聚	164029	17316	1	1	0.98
宿生	164029	17316	1	1	0.98
坚吝	164029	17316	1	1	0.98
配偶	164029	17316	1	1	0.98
孩子者	164029	17316	1	1	0.98
地狱草纸	164029	17316	1	1	0.98
庙会	164029	17316	1	1	0.98
狱卒	164029	17316	1	1	0.98
粪尿	164029	17316	1	1	0.98
净食物者	164029	17316	1	1	0.98
恶质	164029	17316	1	1	0.98
神庙	164029	17316	1	1	0.98
活力	164029	17316	1	1	0.98
炉子	164029	17316	1	1	0.98
餐饮者	164029	17316	1	1	0.98
溢	164029	17316	1	1	0.98
挨饿者	164029	17316	1	1	0.98
寿终	164029	17316	1	1	0.98
荆棘	164029	17316	1	1	0.98
釋迦牟尼	164029	17316	1	1	0.98
住世	164029	17316	1	1	0.98
食缽	164029	17316	1	1	0.98
受閻	164029	17316	1	1	0.98
查無	164029	17316	1	1	0.98
拘管	164029	17316	1	1	0.98
遊蕩	164029	17316	1	1	0.98
餓鬼憑き	164029	17316	1	1	0.98
Kaṭapūtana	164029	17316	1	1	0.98
彼像	164029	17316	1	1	0.98
徐彻	164029	17316	1	1	0.98
三联	164029	17316	1	1	0.98
203	164029	17316	1	1	0.98
978754266581	164029	17316	1	1	0.98
施志明	164029	17316	1	1	0.98
潘啟	164029	17316	1	1	0.98
王廚房	164029	17316	1	1	0.98
书局	164029	17316	1	1	0.98
當作	164029	17316	1	1	0.98
名號	164029	17316	1	1	0.98
正法念處經	164029	17316	1	1	0.98
佛學	164029	17316	1	1	0.98
辭典	164029	17316	1	1	0.98
神信仰	164029	17316	1	1	0.98
纽带	164029	17316	1	1	0.98
实践	164029	17316	1	1	0.98
人心生	164029	17316	1	1	0.98
子虚乌有	164029	17316	1	1	0.98
无处	164029	17316	1	1	0.98
谈鬼	164029	17316	1	1	0.98
论鬼	164029	17316	1	1	0.98
降鬼	164029	17316	1	1	0.98
扮鬼	164029	17316	1	1	0.98
进程	164029	17316	1	1	0.98
深切	164029	17316	1	1	0.98
杀人不眨眼	164029	17316	1	1	0.98
惊魂动魄	164029	17316	1	1	0.98
履行	164029	17316	1	1	0.98
和谐	164029	17316	1	1	0.98
信神	164029	17316	1	1	0.98
停息	164029	17316	1	1	0.98
用鬼	164029	17316	1	1	0.98
主动性	164029	17316	1	1	0.98
曲折	164029	17316	1	1	0.98
感染力	164029	17316	1	1	0.98
直白	164029	17316	1	1	0.98
未鬼而为鬼	164029	17316	1	1	0.98
尽心人	164029	17316	1	1	0.98
日趋	164029	17316	1	1	0.98
包罗万象	164029	17316	1	1	0.98
大行其道	164029	17316	1	1	0.98
分门别	164029	17316	1	1	0.98
奇形怪貌	164029	17316	1	1	0.98
品行	164029	17316	1	1	0.98
才情	164029	17316	1	1	0.98
居处	164029	17316	1	1	0.98
官阶	164029	17316	1	1	0.98
打理	164029	17316	1	1	0.98
当于	164029	17316	1	1	0.98
貌俱黑	164029	17316	1	1	0.98
喜亲	164029	17316	1	1	0.98
口如	164029	17316	1	1	0.98
好色之徒	164029	17316	1	1	0.98
崇人	164029	17316	1	1	0.98
邪淫	164029	17316	1	1	0.98
食淫污	164029	17316	1	1	0.98
鬼吏	164029	17316	1	1	0.98
执目杖	164029	17316	1	1	0.98
此鬼多	164029	17316	1	1	0.98
居于	164029	17316	1	1	0.98
平原	164029	17316	1	1	0.98
山坡	164029	17316	1	1	0.98
穷苦人	164029	17316	1	1	0.98
活活	164029	17316	1	1	0.98
欠债	164029	17316	1	1	0.98
鬼阴贼害	164029	17316	1	1	0.98
多重性	164029	17316	1	1	0.98
多变	164029	17316	1	1	0.98
附属体	164029	17316	1	1	0.98
铁沙	164029	17316	1	1	0.98
吹气	164029	17316	1	1	0.98
天理循环	164029	17316	1	1	0.98
有鬼七分	164029	17316	1	1	0.98
须知	164029	17316	1	1	0.98
交配	164029	17316	1	1	0.98
森瀨繚	164029	17316	1	1	0.98
靜川	164029	17316	1	1	0.98
譯者	164029	17316	1	1	0.98
王書	164029	17316	1	1	0.98
銘	164029	17316	1	1	0.98
8日	164029	17316	1	1	0.98
